contract_type,job_type,location,salary,title,url
Permanent,full-time,London,"£35,000 - £40,000 per annum",Data Analyst,/jobs/data-analyst/52086956?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,London,"£35,000 - £40,000 per annum",Data Analyst,/jobs/data-analyst/52064970?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,Birmingham,"£30,000 - £40,000 per annum",Data Analyst,/jobs/data-analyst/52234392?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,Wolverhampton,"£45,000 - £50,000 per annum",Data Analyst ,/jobs/data-analyst/52045278?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,Manchester,"£33,000 - £38,000 per annum",Data Analyst,/jobs/data-analyst/52008558?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,Birmingham,"£30,000 - £37,000 per annum",Data Analyst,/jobs/data-analyst/52101483?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,London,"£40,000 - £45,000 per annum",Data Analyst,/jobs/data-analyst/52204586?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,Leamington Spa,"£30,000 - £35,000 per annum",Data Analyst,/jobs/data-analyst/52160383?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,Liverpool,"£40,000 - £50,000 per annum",Data Analyst,/jobs/data-analyst/52138532?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,Romford,"£30,000 - £40,000 per annum",Data Analyst,/jobs/data-analyst/52214773?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Contract,full-time,Guildford,£100 - £250 per day,Data Analyst,/jobs/data-analyst/52192556?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,Hessle,"£25,000 - £35,000 per annum",Data Analyst,/jobs/data-analyst/51993131?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Contract,full-time,London,£400 - £450 per day,Data Analyst,/jobs/data-analyst/52159596?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,New Malden,"£40,000 per annum",Data Analyst,/jobs/data-analyst/52207614?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,Manchester,"£45,000 - £50,000 per annum",Data Analyst,/jobs/data-analyst/52098419?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,London,Salary negotiable,Data Analyst,/jobs/data-analyst/52026873?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,Coventry,Salary negotiable,Data Analyst,/jobs/data-analyst/52046166?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,Milton Keynes,Competitive salary,Data Analyst,/jobs/data-analyst/52123528?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Contract,full-time,London,£450 per day,Data Analyst,/jobs/data-analyst/52082691?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Permanent,full-time,Loughborough,Competitive salary,Risk Data Analyst,/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6
Contract,full-time,Netherlands,€95 - €110 per hour,Data Governance Analyst,/jobs/data-governance-analyst/52168319?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6
Permanent,full-time,Leeds,"£29,000 - £30,000 per annum",Data Analyst,/jobs/data-analyst/52028559?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6
Permanent,full-time,Rooksley,£38 - £46 per hour,Data Analyst,/jobs/data-analyst/52103769?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6
Permanent,full-time,Birmingham,"£30,000 - £40,000 per annum",Data Analyst ,/jobs/data-analyst/52207081?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6
Permanent,full-time,Blackburn,"£35,000 - £40,000 per annum",Data Analyst,/jobs/data-analyst/52205852?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6
Temporary,full-time,London,£141.92 - £216.72 per day,Data Analyst,/jobs/data-analyst/52232777?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6
Temporary,full-time,Oxford,£16.63 - £19.81 per hour,Data Analyst,/jobs/data-analyst/52199800?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6
Permanent,full-time,Stourport-on-Severn,"£30,000 - £35,000 per annum",Data Analyst,/jobs/data-analyst/52142272?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6
Permanent,full-time,London,"£35,000 - £40,000 per annum",Data Analyst,/jobs/data-analyst/52086956?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6
Permanent,full-time,London,"£35,000 - £40,000 per annum",Data Analyst,/jobs/data-analyst/52064970?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6
Permanent,full-time,Birmingham,"£30,000 - £40,000 per annum",Data Analyst,/jobs/data-analyst/52234392?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6
Permanent,full-time,Wolverhampton,"£45,000 - £50,000 per annum",Data Analyst ,/jobs/data-analyst/52045278?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6
Permanent,full-time,Manchester,"£33,000 - £38,000 per annum",Data Analyst,/jobs/data-analyst/52008558?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D6
